SELLER INFO,SELLER TYPE,BHK,PRICE,Area in sqft,LOCATION,STATUS,PRICE PER SQ.FT
seller,OWNER,3 , 1.9 Cr,3000 ,Kollur,Under ConstructionConstruction Status,3000 
seller,OWNER,3 , 76 L,1337 ,Miyapur,Ready to moveConstruction Status,1337 
seller,OWNER,2 , 38 L,1000 ,Gandi Maisamma,Ready to moveConstruction Status,1000 
seller,OWNER,2 , 50 L,1175 ,Hastinapuram,Ready to moveConstruction Status,1175 
seller,OWNER,3 , 2.2 Cr,2540 ,Manikonda,Ready to moveConstruction Status,2540 
seller,OWNER,3 , 2.2 Cr,2540 ,Manikonda,Ready to moveConstruction Status,2540 
seller,OWNER,Residential Plot, 16 L,1800 ,Yacharam,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 62 L,1800 ,Rampally,ResaleNew/Resale,1800 
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,2 , 80 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,Residential Plot, 48.4 L,2200 ,Mangalpally,ResaleNew/Resale,2200 
seller,OWNER,6 , 1.12 Cr,2300 ,Sainikpuri,Under ConstructionConstruction Status,2300 
seller,OWNER,6 , 1.12 Cr,2300 ,Sainikpuri,Under ConstructionConstruction Status,2300 
seller,OWNER,9 , 2.9 Cr,5400 ,Saidabad,Ready to moveConstruction Status,5400 
seller,OWNER,9 , 2.9 Cr,5400 ,Saidabad,Ready to moveConstruction Status,5400 
seller,OWNER,9 , 2.9 Cr,5400 ,Saidabad,Ready to moveConstruction Status,5400 
seller,OWNER,3 , 1.03 Cr,1450 ,Madhapur,Under ConstructionConstruction Status,1450 
seller,OWNER,3 , 1.03 Cr,1450 ,Madhapur,Under ConstructionConstruction Status,1450 
seller,OWNER,3 , 98 L,1450 ,Madhapur,Under ConstructionConstruction Status,1450 
seller,OWNER,3 , 1.03 Cr,1450 ,Madhapur,Under ConstructionConstruction Status,1450 
seller,OWNER,9 , 2.9 Cr,5400 ,Saidabad,Ready to moveConstruction Status,5400 
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,1800 
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,1800 
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,1800 
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,1800 
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,1800 
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,1800 
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,1800 
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,1800 
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,1800 
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,1800 
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,1800 
seller,OWNER,4 , 77.99 L,1800 ,Indresham,Ready to moveConstruction Status,1800 
seller,OWNER,10 , 3.5 Cr,9468 ,Mehdipatnam,Ready to moveConstruction Status,9468 
seller,OWNER,2 , 50 L,1250 ,Kollur,Under ConstructionConstruction Status,1250 
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,1665 
seller,OWNER,2 , 2.5 Cr,1350 ,Chandanagar,Ready to moveConstruction Status,1350 
seller,OWNER,2 , 82.41 L,1230 ,Puppalaguda,Under ConstructionConstruction Status,1230 
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,1665 
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,1665 
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,1665 
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,1665 
seller,OWNER,2 , 50 L,1250 ,Kollur,Under ConstructionConstruction Status,1250 
seller,OWNER,2 , 50 L,1250 ,Kollur,Under ConstructionConstruction Status,1250 
seller,OWNER,3 , 66.27 L,1665 ,Kollur,Under ConstructionConstruction Status,1665 
seller,OWNER,3 , 1.2 Cr,2200 ,Bahadurpally,Ready to moveConstruction Status,2200 
seller,OWNER,3 , 1.2 Cr,2200 ,Bahadurpally,Ready to moveConstruction Status,2200 
seller,OWNER,3 , 42.77 L,1585 ,muthangi,Under ConstructionConstruction Status,1585 
seller,OWNER,2 , 60 L,1200 ,Ramachandra Puram,Ready to moveConstruction Status,1200 
seller,OWNER,2 , 59 L,1168 ,Mallapur,Ready to moveConstruction Status,1168 
seller,OWNER,4 , 74.99 L,1820 ,Patancheru,Ready to moveConstruction Status,1820 
seller,OWNER,2 , 55 L,1285 ,Gajularamaram,Ready to moveConstruction Status,1285 
seller,OWNER,2 , 40 L,1100 ,Kompally,Under ConstructionConstruction Status,1100 
seller,OWNER,2 , 82.41 L,1230 ,Puppalaguda,Under ConstructionConstruction Status,1230 
seller,OWNER,Residential Plot, 5.56 L,1089 ,Shamshabad,ResaleNew/Resale,1089 
seller,OWNER,Residential Plot, 5.56 L,1089 ,Shamshabad,ResaleNew/Resale,1089 
seller,OWNER,Residential Plot, 5.56 L,1089 ,Shamshabad,ResaleNew/Resale,1089 
seller,OWNER,3 , 1.2 Cr,1800 ,Kukatpally,Ready to moveConstruction Status,1800 
seller,OWNER,3 , 1.2 Cr,1655 ,Narsingi,Ready to moveConstruction Status,1655 
seller,OWNER,4 , 78 L,2200 ,Kundanpally,Under ConstructionConstruction Status,2200 
seller,OWNER,3 , 1.15 Cr,1602 ,Banjara Hills,Ready to moveConstruction Status,1602 
seller,OWNER,3 , 1.4 Cr,756 ,Jubilee Hills,Ready to moveConstruction Status,756 
seller,OWNER,6 , 2.9 Cr,2414 ,Banjara Hills,Ready to moveConstruction Status,2414 
seller,OWNER,3 , 1.4 Cr,756 ,Jubilee Hills,Ready to moveConstruction Status,756 
seller,OWNER,6 , 2.9 Cr,2414 ,Banjara Hills,Ready to moveConstruction Status,2414 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,2 , 34 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,1520 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,3 , 47.6 L,1360 ,Miyapur,Under ConstructionConstruction Status,1360 
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,1020 
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,1520 
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,1520 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 34 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,1150 
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,1020 
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,1240 
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,1520 
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,1520 
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,1560 
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,1170 
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,1020 
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,1060 
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,1020 
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,1060 
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,1060 
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,1060 
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,1040 
